cluster_30,2021,2022,2023,2024
RK001_0,1,1,0,0
RK001_1,0,1,1,1
RK001_2,0,1,0,1
RK001_3,1,0,0,0
RK001_4,0,0,0,1
RK001_5,0,1,0,1
RK004_0,0,1,1,1
RK004_1,0,0,0,1
RK004_3,0,0,0,1
RK004_4,1,0,0,0
RK004_5,0,1,1,1
RK007_0,1,1,0,0
RK007_1,0,0,0,1
RK007_2,0,0,1,0
RK007_3,0,0,0,1
RK007_4,0,1,1,0
RK007_5,0,0,1,0
RK010_0,0,0,0,1
RK010_1,1,1,1,1
RK010_2,0,1,0,0
RK010_3,1,0,0,0
RK010_4,0,1,0,0
RK010_5,0,1,0,0
RK010_6,0,0,1,1
RK016_0,0,1,1,0
RK016_1,1,0,0,0
RK016_2,0,0,0,1
RK016_3,0,1,0,1
RK016_4,0,1,1,0
RK016_5,0,0,1,0
RK016_6,1,1,1,0
RK062_0,1,1,1,1
RK062_1,0,1,1,0
RK062_2,1,1,1,1
RK062_3,0,1,0,0
RK062_4,0,1,0,0
RK062_5,0,1,0,0
RK063_0,0,1,0,0
RK063_1,0,1,0,0
RK063_2,1,1,1,1
RK063_3,0,0,0,1
RK065_0,0,1,1,1
RK065_1,1,0,0,0
RK065_2,1,1,1,1
RK065_3,1,1,1,0
RK065_4,1,1,1,1
RK1000_0,1,0,1,1
RK1003_0,1,0,0,0
RK1003_1,0,1,1,0
RK1003_2,1,0,0,0
RK1003_3,0,1,1,0
RK1003_4,0,1,0,1
RK1009_0,0,0,1,0
RK1010_0,0,1,0,0
RK1010_1,0,0,0,1
RK1010_2,1,0,0,0
RK1010_3,0,0,1,0
RK1010_4,1,0,1,0
RK1010_5,0,0,0,1
RK1013_0,0,1,1,0
RK1013_1,0,1,1,0
RK1013_2,0,1,1,1
RK1013_3,0,0,0,1
RK1013_4,1,0,0,0
RK1013_5,1,0,0,0
RK1015_0,1,0,0,0
RK1015_1,1,1,1,1
RK1018_0,1,1,1,0
RK1018_1,0,0,0,1
RK1021_0,0,1,1,1
RK1021_1,0,1,0,0
RK1021_2,1,0,0,0
RK1021_3,0,1,1,0
RK1022_0,0,0,0,1
RK1022_1,1,1,1,1
RK1022_2,0,0,0,1
RK1024_0,0,1,1,0
RK1026_0,0,0,1,1
RK1026_1,1,0,0,0
RK1026_2,0,1,0,1
RK1029_0,1,1,0,0
RK1029_1,0,0,1,1
RK1031_0,1,1,1,0
RK1031_1,1,0,0,0
RK1031_2,0,0,1,1
RK1031_3,1,1,0,1
RK1033_0,1,0,0,0
RK1033_1,1,1,0,1
RK1033_2,0,0,0,1
RK1033_3,0,1,0,0
RK1036_0,1,0,0,1
RK1036_1,0,1,0,0
RK1040_0,0,0,0,1
RK1040_1,0,1,0,0
RK1040_2,0,1,1,1
RK1040_3,1,1,1,0
RK1040_4,0,0,0,1
RK1040_5,0,0,1,1
RK1042_0,0,0,0,1
RK1042_1,0,0,1,0
RK1042_2,0,0,1,0
RK1042_3,0,1,0,0
RK1044_0,0,0,1,0
RK1044_1,0,0,1,0
RK1048_0,0,0,1,0
RK1049_0,1,1,1,1
RK1049_1,1,1,1,1
RK1049_2,0,1,1,0
RK1050_0,0,0,0,1
RK1051_0,1,0,1,1
RK1051_1,0,1,1,1
RK1054_0,0,1,1,0
RK1054_1,1,0,1,0
RK1059_0,1,1,0,0
RK1059_1,0,0,1,0
RK1059_2,1,0,1,1
RK1059_3,1,0,0,1
RK600_0,1,0,0,0
RK600_1,0,1,1,1
RK601_0,1,1,1,1
RK601_1,1,0,1,0
RK601_2,1,1,1,1
RK601_3,0,1,1,0
RK602_0,1,0,0,0
RK602_1,0,1,1,1
RK602_2,1,1,1,1
RK602_3,0,1,1,1
RK602_4,0,1,0,0
RK603_0,1,0,0,0
RK603_1,1,0,0,0
RK603_2,0,1,1,0
RK603_3,0,0,1,1
RK603_4,0,1,0,0
RK603_5,0,0,0,1
RK603_6,0,0,1,1
RK603_7,0,1,0,0
RK604_0,1,1,1,1
RK604_1,1,1,0,1
RK604_2,0,1,0,1
RK604_3,1,0,0,1
RK606_0,1,0,0,0
RK606_1,1,1,0,0
RK606_2,0,1,0,0
RK606_3,0,1,0,0
RK606_4,0,0,0,1
RK606_5,0,0,1,0
RK606_6,0,1,1,1
RK606_7,1,1,1,1
RK606_8,0,0,0,1
RK607_0,0,0,1,1
RK607_1,0,0,1,0
RK607_2,0,0,0,1
RK607_3,0,1,0,0
RK607_4,0,0,1,0
RK607_5,1,0,0,0
RK607_6,1,0,0,0
RK607_7,0,0,1,1
RK607_8,1,1,0,1
RK607_9,0,0,0,1
RK609_0,1,1,1,1
RK609_1,1,0,1,1
RK609_2,1,1,0,1
RK609_3,0,1,0,0
RK610_0,1,0,0,1
RK610_1,1,1,0,0
RK611_0,1,0,0,0
RK611_1,1,0,0,0
RK611_10,0,1,0,0
RK611_11,0,0,1,1
RK611_2,0,1,0,0
RK611_3,1,0,0,0
RK611_4,1,0,0,0
RK611_5,0,0,1,0
RK611_6,0,1,0,0
RK611_7,0,1,0,0
RK611_8,0,1,1,1
RK611_9,0,1,0,0
RK614_0,0,1,0,0
RK614_1,1,0,0,0
RK614_2,0,0,1,1
RK614_3,1,1,1,1
RK614_4,1,1,1,1
RK615_0,1,0,0,0
RK615_1,1,0,0,0
RK615_10,0,0,0,1
RK615_11,1,1,1,0
RK615_2,0,1,0,0
RK615_3,0,1,0,0
RK615_4,0,0,1,0
RK615_5,0,0,1,0
RK615_6,0,1,0,0
RK615_7,0,0,0,1
RK615_8,0,1,1,0
RK615_9,0,0,0,1
RK616_0,1,0,0,0
RK616_1,1,0,0,0
RK616_2,0,1,1,0
RK616_3,0,0,0,1
RK616_4,1,1,1,1
RK616_5,1,1,1,1
RK616_6,0,0,0,1
RK616_7,0,0,1,0
RK621_0,0,0,1,0
RK621_1,0,0,0,1
RK621_2,1,0,0,0
RK621_3,1,1,0,0
RK621_4,0,1,1,1
RK621_5,0,1,0,0
RK622_0,1,1,0,0
RK622_1,1,1,0,0
RK661_0,1,1,0,1
RK661_1,0,1,0,0
RK661_2,1,1,1,1
RK661_3,0,0,0,1
RK661_4,0,0,1,0
RK661_5,0,1,1,1
RK683_0,1,1,1,1
RK683_1,1,1,0,0
RK683_2,1,1,1,1
RK683_3,0,0,1,1
RK684_0,1,0,0,0
RK684_1,1,1,0,1
RK684_2,0,1,1,0
RK684_3,0,1,1,1
RK685_0,1,1,1,1
RK685_1,0,1,0,0
RK685_2,0,0,1,0
RK685_3,0,1,1,1
RK685_4,1,0,0,0
RK685_5,1,0,0,0
RK686_0,1,1,0,0
RK686_1,0,0,0,1
RK686_2,0,1,0,0
RK686_3,0,0,1,0
RK686_4,0,1,0,0
RK686_5,0,1,1,1
RK686_6,0,0,1,0
RK686_7,1,0,0,0
RK686_8,0,1,1,0
RK686_9,0,0,1,1
RK687_0,0,0,0,1
RK687_1,0,1,0,1
RK687_2,1,1,1,0
RK687_3,1,0,0,0
RK687_4,0,1,0,0
RK687_5,0,1,1,0
RK690_0,0,0,1,0
RK690_1,0,1,1,0
RK690_2,0,0,0,1
RK690_3,0,1,0,0
RK690_4,0,1,1,1
RK690_5,0,0,0,1
RK690_6,1,0,0,0
RK690_7,0,1,0,0
RK690_8,1,1,1,1
RK691_0,0,0,0,1
RK691_1,1,0,1,0
RK691_2,0,0,1,1
RK691_3,1,0,0,0
RK692_0,0,1,0,0
RK692_1,0,1,0,0
RK692_2,1,1,1,1
RK692_3,1,1,0,0
RK693_0,0,0,1,1
RK693_1,0,1,0,0
RK693_2,1,0,0,0
RK693_3,1,0,0,0
RK693_4,0,1,1,1
RK693_5,0,1,0,0
RK693_6,1,0,0,0
RK693_7,0,1,1,0
RK693_8,1,0,0,0
RK694_0,0,1,0,1
RK694_1,1,1,1,0
RK694_2,0,1,1,1
RK694_3,1,0,0,0
RK695_0,0,1,0,0
RK695_1,0,1,1,1
RK695_2,0,0,0,1
RK695_3,0,1,0,0
RK695_4,0,1,1,1
RK695_5,0,0,1,0
RK695_6,1,1,0,0
RK695_7,1,0,0,0
RK695_8,0,1,0,0
RK696_0,1,1,0,0
RK696_1,1,1,0,0
RK696_2,0,1,0,0
RK696_3,0,1,1,0
RK696_4,1,1,1,1
RK696_5,1,1,1,0
RK696_6,0,1,0,0
RK701_0,1,0,0,0
RK701_1,0,1,1,0
RK702_0,1,1,1,1
RK702_1,1,1,1,0
RK728_0,1,1,0,0
RK728_1,0,0,1,1
RK728_2,1,0,0,0
RK729_0,0,0,1,1
RK729_1,0,0,1,1
RK729_2,0,1,1,1
RK729_3,1,0,0,0
RK729_4,1,1,0,0
RK729_5,0,1,0,0
RK730_0,0,0,1,0
RK730_1,0,0,0,1
RK730_2,0,0,1,0
RK730_3,1,0,0,0
RK730_4,0,1,0,1
RK730_5,1,0,0,0
RK730_6,0,1,1,0
RK730_7,1,1,0,1
RK731_0,0,1,0,1
RK731_2,0,1,0,0
RK731_3,0,1,0,0
RK731_4,0,0,1,0
RK731_5,1,1,0,1
RK731_6,1,0,0,0
RK731_7,1,1,1,1
RK731_8,0,0,1,1
RK732_0,0,0,0,1
RK732_1,1,0,1,0
RK732_2,0,1,0,1
RK732_3,0,1,1,1
RK732_4,1,1,0,1
RK732_5,1,1,0,0
RK732_6,1,0,0,0
RK732_7,0,1,0,0
RK733_0,0,0,1,1
RK733_1,0,0,0,1
RK733_2,1,1,1,1
RK733_3,1,1,0,0
RK733_4,1,1,0,0
RK733_5,0,1,0,0
RK733_6,1,0,0,0
RK734_0,0,0,1,1
RK734_2,0,0,0,1
RK734_3,0,1,1,0
RK734_4,1,1,1,0
RK734_5,0,1,0,1
RK735_0,1,1,1,1
RK735_1,1,1,0,1
RK735_2,0,0,1,0
RK736_0,0,0,1,1
RK736_1,1,1,1,0
RK736_2,1,1,0,0
RK738_0,0,0,1,0
RK738_1,1,0,0,0
RK738_2,0,1,1,0
RK738_3,0,1,0,0
RK738_4,0,1,1,1
RK738_5,0,0,1,1
RK738_6,0,0,0,1
RK738_7,0,1,1,1
RK739_0,1,0,0,0
RK739_1,0,1,1,1
RK739_2,1,0,0,0
RK739_3,0,0,1,1
RK739_4,0,1,1,1
RK739_5,1,0,0,0
RK739_6,1,0,0,0
RK741_0,1,1,1,1
RK741_1,1,1,1,1
RK741_2,0,0,0,1
RK742_0,1,1,1,1
RK742_1,1,0,0,0
RK742_2,1,0,1,1
RK745_0,1,1,0,0
RK745_1,1,1,0,0
RK745_2,0,1,1,1
RK745_3,0,1,1,0
RK747_0,0,0,0,1
RK747_1,1,1,0,0
RK747_2,1,1,1,1
RK747_3,0,0,1,0
RK747_4,1,0,0,0
RK747_5,0,1,0,0
RK749_0,1,1,0,0
RK749_1,0,1,0,0
RK749_2,0,1,1,1
RK751_0,1,1,0,0
RK752_0,0,1,0,1
RK752_1,0,1,0,0
RK752_2,1,0,0,0
RK752_3,1,1,1,1
RK753_0,1,1,1,0
RK753_1,1,1,1,1
RK758_0,1,0,1,1
RK758_1,0,0,0,1
RK758_2,1,0,0,0
RK758_3,1,1,1,0
RK758_4,1,0,0,0
RK758_5,0,1,0,0
RK758_6,0,1,0,0
RK758_7,0,1,0,0
RK759_0,1,1,1,1
RK759_1,0,0,0,1
RK759_2,1,0,0,0
RK760_0,1,0,0,0
RK760_1,1,0,0,0
RK760_2,0,0,1,0
RK760_3,0,1,0,0
RK760_4,0,1,0,0
RK760_6,0,0,0,1
RK760_7,0,0,0,1
RK760_8,0,1,1,0
RK888_0,0,1,1,1
RK888_1,1,0,0,1
RK888_2,0,0,1,1
RK888_3,1,1,0,0
RK890_0,1,1,0,0
RK890_1,0,1,0,0
RK890_2,1,0,1,0
RK890_3,0,0,1,1
RK893_0,1,1,1,1
RK893_1,1,0,0,0
RK893_2,0,1,1,0
RK893_3,0,1,1,1
RK893_4,1,0,0,0
RK893_5,1,0,0,0
RK893_6,0,1,0,0
RK893_7,0,0,1,1
RK895_0,0,1,1,1
RK902_0,0,1,0,0
RK902_1,1,1,1,1
RK902_2,0,0,0,1
RK902_3,1,0,0,0
RK902_4,0,1,1,0
RK906_0,1,0,1,1
RK906_1,1,1,1,1
RK906_2,0,0,1,1
RK908_0,0,1,0,1
RK908_1,0,1,0,0
RK908_2,1,0,0,0
RK908_3,1,0,1,1
RK908_4,1,0,1,0
RK910_0,1,0,0,0
RK910_1,0,0,1,0
RK910_2,0,0,1,1
RK910_3,0,1,0,1
RK910_4,0,1,0,0
RK913_0,0,1,1,1
RK913_1,1,0,0,0
RK913_2,0,0,0,1
RK913_3,0,1,0,0
RK913_4,0,0,1,0
RK913_5,0,0,1,0
RK917_0,1,1,1,1
RK920_0,0,1,0,0
RK920_1,0,0,1,0
RK920_2,0,0,1,1
RK920_3,0,0,1,1
RK920_4,0,1,0,0
RK920_5,1,0,0,0
RK920_6,1,0,0,0
RK920_7,1,0,0,0
RK920_8,0,0,1,0
RK921_0,0,1,1,0
RK921_1,0,1,1,1
RK921_2,0,1,0,1
RK921_3,1,0,0,0
RK921_4,1,0,0,0
RK923_0,1,0,0,0
RK924_0,1,1,0,0
RK924_1,0,1,0,0
RK924_2,0,0,1,0
RK924_3,1,0,0,0
RK924_4,0,0,1,1
RK924_5,0,0,1,1
RK924_6,0,1,0,0
RK924_7,1,1,0,0
RK929_0,0,1,1,1
RK929_1,1,0,0,0
RK929_2,1,1,0,0
RK929_3,0,0,1,0
RK929_4,0,1,0,0
RK931_0,1,0,0,1
RK931_1,0,0,1,0
RK931_2,1,1,1,0
RK931_3,0,0,0,1
RK934_0,1,0,0,0
RK935_0,1,1,1,0
RK935_1,1,0,0,0
RK935_2,0,1,1,1
RK936_0,1,0,0,0
RK936_1,0,1,1,0
RK936_2,0,1,0,0
RK943_0,1,1,0,1
RK943_1,0,0,0,1
RK944_0,0,0,1,0
RK944_1,1,0,0,0
RK944_2,0,1,0,1
RK944_3,0,1,1,1
RK949_0,1,1,0,1
RK949_1,0,0,1,0
RK954_0,1,0,0,0
RK955_0,1,1,1,1
RK955_1,0,0,1,0
RK958_0,0,1,1,0
RK958_1,0,1,1,1
RK958_2,0,0,1,0
RK958_3,0,1,1,1
RK958_4,0,0,1,1
RK958_5,0,0,0,1
RK958_6,1,0,0,0
RK958_7,1,0,0,0
RK961_0,1,0,0,0
RK961_1,1,1,1,1
RK961_2,0,1,1,0
RK961_3,0,0,0,1
RK962_0,0,0,0,1
RK962_1,0,1,1,1
RK962_2,1,1,1,1
RK964_0,1,0,0,0
RK964_1,1,0,0,0
RK964_2,0,1,1,1
RK964_3,0,1,0,1
RK964_4,0,1,1,0
RK966_0,0,1,1,1
RK966_1,1,1,1,1
RK966_2,1,1,0,0
RK974_0,1,1,1,1
RK974_1,0,1,1,0
RK976_0,0,0,0,1
RK976_1,0,0,0,1
RK976_2,0,0,0,1
RK976_3,1,0,0,0
RK976_4,0,1,1,0
RK976_5,1,0,0,0
RK976_6,0,1,0,0
RK983_0,1,0,0,0
RK983_1,0,0,1,1
RK983_2,0,1,1,1
RK984_0,1,1,1,1
RK984_1,0,1,1,0
RK986_0,0,0,0,1
RK986_1,1,0,0,0
RK986_2,0,1,1,1
RK986_3,0,0,1,0
RK986_4,0,1,0,0
RK990_0,1,1,1,0
RK990_1,1,0,0,0
RK990_2,0,0,1,1
