,mean,sd,0.025,0.250,0.500,0.750,0.975,Rhat,n.eff,overlap0,f
phi_year[1],0.70,0.05,0.60,0.67,0.70,0.73,0.79,1.00,3000.00,0.00,1.00
phi_year[2],0.67,0.05,0.57,0.64,0.67,0.71,0.77,1.00,2583.00,0.00,1.00
phi_year[3],0.65,0.05,0.55,0.62,0.65,0.69,0.76,1.00,2711.00,0.00,1.00
p_intercept,0.89,0.02,0.84,0.87,0.89,0.91,0.93,1.00,3000.00,0.00,1.00
sd.lphi.site,0.20,0.14,0.01,0.09,0.18,0.28,0.53,1.01,785.00,0.00,1.00
beta_slope,0.13,0.15,-0.17,0.03,0.13,0.23,0.43,1.00,3000.00,1.00,0.81
beta_ba,-0.03,0.10,-0.23,-0.09,-0.03,0.04,0.18,1.00,3000.00,1.00,0.61
beta_canopy,0.07,0.11,-0.15,0.00,0.07,0.14,0.29,1.00,1122.00,1.00,0.74
phi_ohiopyle_2021,0.70,0.05,0.60,0.67,0.70,0.73,0.79,1.00,3000.00,0.00,1.00
phi_sgl034_2021,0.74,0.04,0.66,0.72,0.75,0.77,0.82,1.00,1192.00,0.00,1.00
deviance,705.08,7.16,687.92,701.68,705.82,709.38,717.86,1.01,844.00,0.00,1.00